	featureCounts on dataset 88 and 98: Counts	featureCounts on dataset 89 and 98: Counts	featureCounts on dataset 90 and 98: Counts	Mutant	Mutant2	Mutant3
gene-BTH_RS05015	66.7517903768903	35.9359810259212	43.3968727963747	38.2806809033841	40.1633538042899	47.235590590552
gene-BTH_RS05025	28.4515827835926	20.6904133179546	46.2899976494664	19.1403404516921	33.9157209902893	22.1718078282183
gene-BTH_RS05030	0	0	0	0	0	0
gene-BTH_RS05035	26.262999492547	2.17793824399522	20.2518739716415	9.06647705606466	16.065341521716	22.1718078282183
gene-BTH_RS05040	41.5830825298661	17.4235059519618	35.6818731881303	26.1920448286312	31.2381640700033	39.5236574329109
gene-BTH_RS05045	102.863414679142	86.0285606378113	83.9006207396578	62.4579530528899	66.9389230071499	64.5874401952446
gene-BTH_RS05050	29.5458744291154	47.9146413678949	59.7912469638941	29.2142038473194	27.6680881762886	50.1275655246674
gene-BTH_RS05055	56.9031655671852	45.7367031238997	81.9718708375967	61.4505667133271	54.4436573791486	62.6594569058343
gene-BTH_RS05060	0	0	0	0	0	0
gene-BTH_RS05065	76.6004151865954	49.0036104898925	67.5062465721385	55.4062486759507	68.7239609540072	67.47941512936
MSTRG.729.1	0	0	0	1.00738633956274	2.67755692028599	1.92798328941029
gene-BTH_RS05070	0	0	0	0	0	0
gene-BTH_RS05075	0	0	0	0	0	0
gene-BTH_RS05080	0	0	0	0	0	0
gene-BTH_RS05085	169.615205056033	218.88279352152	163.943741675193	210.543744968613	178.503794685733	204.36622867749
gene-BTH_RS05090	57.9974572127079	72.96093117384	82.9362457886273	57.4210213550762	54.4436573791486	48.1995822352572
gene-BTH_RS05095	458.50819947405	502.014765240899	508.2255991931	456.346011821921	447.152005687761	440.54418163025
gene-BTH_RS05100	76.6004151865954	79.4947459058257	90.6512453968717	90.6647705606466	87.4668593960092	88.6872313128732
gene-BTH_RS05105	0	0	0	0	0	0
gene-BTH_RS05110	210.103995940376	188.391658105587	195.768115059202	196.440336214734	199.031731074592	177.374462625746
gene-BTH_RS05115	57.9974572127079	19.601444195957	66.5418716211079	42.3102262616351	35.7007589371466	39.5236574329109
gene-BTH_RS05120	30.6401660746382	17.4235059519618	28.9312485309165	21.1551131308175	35.7007589371466	25.0637827623337
gene-BTH_RS05125	254.96995340681	262.441558401424	289.312485309165	212.558517647738	188.321503393448	180.266437559862
gene-BTH_RS33220	5.47145822761396	18.5124750739594	31.8243733840081	10.0738633956274	16.9578604951446	20.243824538808
gene-BTH_RS05135	327.193202011315	358.270841137214	399.251229726648	378.77726367559	317.736754540605	306.549343016236
gene-BTH_RS05140	172.898079992601	152.455677079666	156.228742066949	142.041473878346	124.952656280013	133.03084696931
gene-BTH_RS05145	32.8287493656837	22.8683515619499	20.2518739716415	14.1034087538784	17.8503794685733	18.3158412493977
gene-BTH_RS05150	91.9204982239145	94.7403136137922	110.903119368513	84.6204525232701	83.0042645288658	93.5071895363989
gene-BTH_RS05155	54.7145822761396	20.6904133179546	51.1118724046191	18.1329541121293	32.1306830434319	47.235590590552
gene-BTH_RS05160	37.2059159477749	19.601444195957	32.7887483350387	16.1181814330038	24.098012282574	18.3158412493977
MSTRG.745.1	0	0	0	1.00738633956274	0	0.963991644705143
gene-BTH_RS05165	0	0	0	0	0	0
gene-BTH_RS05170	0	0	0	0	0	0
MSTRG.745.4	0	1.08896912199761	0	0	1.78503794685733	0
gene-BTH_RS05175	0	0	0	0	0	0
gene-BTH_RS05180	0	0	0	0	0	0
gene-BTH_RS05195	0	0	0	0	0	0
gene-BTH_RS05200	0	0	0	0	0	0
gene-BTH_RS05210	0	0	0	0	0	0
gene-BTH_RS05215	0	0	0	0	0	0
gene-BTH_RS05220	0	0	0	0	0	0
gene-BTH_RS05225	0	0	0	0	0	0
gene-BTH_RS05230	0	0	0	0	0	0
gene-BTH_RS05235	0	0	0	0	0	0
gene-BTH_RS05190	0	0	0	0	0	0
gene-BTH_RS05205	0	0	0	0	0	0
gene-BTH_RS05240	83.1661650597322	66.4271164418543	59.7912469638941	40.2954535825096	82.1117455554372	43.3796240117314
gene-BTH_RS05245	245.121328597105	265.708465767417	174.551866136529	123.908519766217	607.805420904921	80.0113065105269
gene-BTH_RS05250	384.0963675785	255.907743669439	304.742484525654	75.5539754672055	402.526057016328	62.6594569058343
gene-BTH_RS05255	84.2604567052549	79.4947459058257	96.437495103055	15.1107950934411	55.3361763525772	19.2798328941029
gene-BTH_RS05260	0	0	0	0	0	0
